Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-585,624,"1,417",504,37,38,74,2,f
User-586,403,"1,202","2,421",50,23,17,0,f
User-587,193,871,"1,929",3,21,6,3,f
User-588,"1,224",895,"1,249",45,51,59,4,f
User-589,56,194,422,25,24,86,8,m
User-590,289,649,699,65,71,141,1,f
User-591,85,422,"1,929",25,58,25,8,m
User-592,181,230,898,45,67,57,8,m
User-593,198,510,912,108,86,94,0,f
User-594,456,415,"1,020",15,34,47,7,m
User-595,849,"1,564","1,681",35,31,33,1,f
User-596,"2,345","2,675","5,384",106,98,90,1,f
User-597,225,208,229,30,12,49,2,f
User-598,62,312,"1,090",80,72,56,7,m
User-599,203,374,"1,124",126,83,89,7,m
User-600,728,590,525,43,103,46,3,f
User-601,747,257,775,4,10,15,1,f
User-602,440,"1,073","2,138",26,65,31,1,m
User-603,353,655,758,107,161,140,6,f
User-604,268,519,675,83,82,52,1,m
User-605,150,25,39,1,0,1,0,f
User-606,"1,894","1,305","6,072",86,69,114,5,m
User-607,163,"8,400","5,051",188,167,207,0,m
User-608,"1,825","5,852","7,122",161,129,214,0,m
User-609,481,458,908,49,41,57,6,f
User-610,173,142,445,50,31,20,7,m
User-611,64,113,256,5,8,11,1,f
User-612,73,"2,853","6,425",107,137,222,8,f
User-613,361,"4,026",938,378,311,354,4,m
User-614,67,154,393,32,36,23,7,f
User-615,679,1259,703,82,39,88,5,f
User-616,158,"1,224",245,154,138,138,7,f
User-617,187,"3,878","1,660",127,171,118,8,f
User-618,134,"2,837","2,292",229,81,105,9,f
User-619,336,288,264,48,18,25,0,f
User-620,159,"1,178",762,192,226,209,9,f
User-621,96,843,"4,917",114,43,36,6,m
User-622,184,834,"1,500",8,8,152,2,m
User-623,395,647,944,25,26,34,4,f
User-624,502,864,"1,143",66,69,55,8,f
User-625,268,"6,006","6,116",236,250,432,6,f
User-626,110,"9,462","1,008",646,418,603,9,m
User-627,107,500,"1,514",25,18,15,3,f
User-628,257,534,756,31,39,18,4,f
User-629,92,"3,185","2,177",259,185,133,2,f
User-630,313,"1,063",571,76,102,77,7,m
User-631,66,"6,978","6,300",1374,1103,1806,7,f
User-632,459,681,"1,090",18,14,11,8,m
User-633,53,"2,921",608,137,91,85,8,f
User-634,63,483,330,43,31,34,9,f
User-635,210,762,"2,093",13,16,29,7,f
User-636,97,"1,526","2,702",201,212,233,7,m
User-637,77,921,"2,127",29,52,44,4,m
User-638,84,183,599,21,12,12,9,f
User-639,233,436,494,5,6,1,9,m
User-640,83,738,"1,907",64,72,69,9,m
User-641,62,853,"3,877",25,19,13,8,m
User-642,67,569,"1,184",20,15,19,8,m
User-643,62,"1,298",996,53,55,43,9,m
User-644,440,"2,141","4,920",57,49,21,8,f
User-645,"1,464","5,844","5,214",37,21,17,0,f
User-646,93,933,501,41,30,34,9,f
User-647,52,218,337,16,22,26,5,f
User-648,143,132,374,5,3,6,0,m
User-649,247,"1,108",958,17,25,13,9,m
User-650,104,185,"1,208",18,11,7,7,m
User-651,51,16,32,0,1,2,1,m
User-652,80,"4,677",421,280,156,45,8,f
User-653,98,791,"2,796",40,19,10,8,f
User-654,92,"1,248","7,500",15,21,31,1,f
User-655,197,"1,465","3,630",81,70,91,9,f
User-656,127,"6,528",977,1015,687,729,9,m
User-657,105,104,311,5,3,8,9,f
User-658,81,64,174,1,0,0,9,m
User-659,66,"1,483","1,076",22,37,35,2,f
User-660,256,"2,289",792,331,248,248,5,m
User-661,"1,208","1,131","4,759",8,8,7,0,m
User-662,57,124,474,18,8,18,6,m
User-663,203,"6,054","6,553",211,236,224,9,m
User-664,"1,352",774,"2,795",59,57,51,9,m
User-665,125,517,629,27,28,18,4,f
User-666,143,"7,611","3,985",1154,1266,1447,9,m
User-667,734,621,"1,248",22,50,45,4,m
User-668,240,"1,270","6,411",125,112,185,1,f
User-669,219,"1,224","1,146",20,11,80,5,f
User-670,67,134,104,22,13,25,4,f
User-671,81,"1,217","6,406",15,48,175,7,m
User-672,374,456,949,18,22,30,0,m
User-673,52,832,"2,282",37,25,36,5,f
User-674,90,"6,449","4,374",503,130,542,6,f
User-675,55,"1,108","6,135",112,127,132,8,f
User-676,264,104,55,20,19,11,1,m
User-677,"1,635",663,846,4,9,33,3,f
User-678,181,"8,834","4,587",516,609,752,2,m
User-679,73,610,"1,293",32,76,85,3,m
User-680,89,333,"1,503",11,10,8,3,f
User-681,231,"3,106","3,841",114,98,84,9,m
User-682,248,512,"1,660",62,42,65,0,m
User-683,100,351,"2,081",3,6,5,4,m
User-684,127,189,690,17,39,22,5,m
User-685,170,405,328,32,4,5,0,m
User-686,717,"1,656","1,390",124,124,116,5,f
User-687,290,"2,662","3,964",125,113,152,0,m
User-688,173,"2,949",472,95,67,110,8,f
User-689,79,"1,976","7,140",181,192,112,9,m
User-690,132,"7,303","1,936",797,1209,1185,9,f
User-691,982,596,"1,837",46,56,25,4,f
User-692,583,"2,437","7,499",23,21,18,0,f
User-693,51,"2,930","5,091",86,112,81,8,f
User-694,159,"2,471","1,380",307,301,294,3,f
User-695,497,"2,902","3,685",490,544,481,0,m
User-696,"1,708",774,"1,420",31,49,33,1,f
User-697,59,"4,691","1,081",1141,1196,1467,8,m
User-698,335,"1,180","3,073",116,103,47,1,f
User-699,"1,495","4,137","3,642",122,116,102,0,f
User-700,321,651,564,96,92,157,8,f
User-701,399,"8,066","2,153",771,342,343,6,f
User-702,420,"1,780","4,992",56,70,74,1,f
User-703,170,"3,112","7,462",63,88,103,9,m
User-704,947,"1,064","4,105",96,22,42,0,f
User-705,139,155,473,36,45,35,2,f
User-706,273,"4,433","6,733",75,92,113,1,f
User-707,60,175,295,16,6,6,9,f
User-708,"1,527","2,471","4,805",133,121,57,5,f
User-709,294,346,566,47,18,47,1,f
User-710,160,"4,348","6,096",442,549,275,2,m
User-711,323,211,878,10,12,9,5,f
User-712,76,"1,130","5,837",55,110,70,0,m
User-713,226,312,"1,326",95,75,75,2,f
User-714,52,360,"1,209",8,32,3,4,f
User-715,732,272,364,12,9,10,0,m
User-716,166,"1,087","1,489",47,43,36,2,f
User-717,99,383,405,29,35,62,4,m
User-718,178,223,180,7,2,8,1,f
User-719,267,357,530,3,3,3,2,f
User-720,272,"1,814","3,422",40,22,34,5,m
User-721,197,455,925,10,11,22,0,m
User-722,296,216,866,3,3,1,4,m
User-723,65,124,431,18,23,18,0,m
User-724,69,"1,368","4,133",95,60,25,5,m
User-725,764,260,751,4,2,2,0,f
User-726,138,154,210,4,9,3,0,f
User-727,51,876,"1,353",34,16,38,0,m
User-728,79,310,620,8,2,5,7,m
User-729,71,328,363,6,3,8,7,f
User-730,87,162,"1,125",5,4,3,7,m
User-731,265,807,"2,795",7,7,4,5,m
User-732,201,254,996,16,17,10,7,f
User-733,109,173,205,7,6,10,5,m
User-734,318,725,869,11,12,7,9,m
User-735,439,259,786,9,11,6,0,f
User-736,"4,587","9,785","1,777",644,616,601,0,m
User-737,191,"3,149",155,189,192,219,0,m
User-738,436,603,"1,837",12,48,24,0,f
User-739,126,130,276,8,15,6,0,m
User-740,220,"8,461","6,828",360,886,693,6,m
User-741,273,712,"2,507",153,175,155,2,m
User-742,546,"1,027",442,128,55,54,7,f
User-743,225,"1,263",597,160,109,89,9,f
User-744,754,"2,068","6,230",55,79,52,0,f
User-745,158,"2,893","5,625",34,35,66,0,m
User-746,51,"1,934","1,502",63,26,66,3,f
User-747,415,"7,285","2,495",187,204,213,0,f
User-748,330,"1,375",984,59,51,29,0,f
User-749,879,"7,991","6,822",160,226,169,4,f
User-750,84,"8,022","5,923",118,156,47,3,m
User-751,270,"6,439","4,735",158,116,151,2,m
User-752,121,"1,836","4,793",18,16,7,3,f
User-753,"1,206","3,244","2,705",136,152,133,6,f
User-754,180,500,540,468,443,471,3,f
User-755,481,"2,427",910,69,68,78,2,f
User-756,767,"4,928","1,367",178,153,150,0,f
User-757,210,"2,210","2,239",318,326,688,1,f
User-758,225,"1,193","4,210",36,74,52,1,f
User-759,89,"1,580","2,150",70,53,74,9,m
User-760,337,"3,053","5,660",30,103,104,5,m
User-761,"1,340","1,659",856,34,18,31,2,f
User-762,123,"1,452","1,747",51,69,53,3,f
User-763,592,"4,727",327,203,128,284,9,f
User-764,197,"1,586","1,651",58,70,52,2,f
User-765,500,266,753,15,3,8,4,f
User-766,112,"1,649","6,799",126,176,122,1,m
User-767,190,359,"1,706",18,0,3,0,f
User-768,499,295,588,26,16,11,2,f
User-769,412,612,"2,758",15,17,15,2,f
User-770,58,86,231,10,0,0,0,f
User-771,53,88,237,4,8,7,0,m
User-772,95,714,"2,787",53,77,98,6,f
User-773,789,642,"2,724",47,110,50,6,f
User-774,570,630,397,75,87,96,3,f
User-775,105,229,"1,031",74,61,61,7,m
User-776,171,"5,028","6,762",292,220,247,2,f
User-777,725,195,327,20,4,28,2,f
User-778,340,123,238,8,19,11,3,f
User-779,"1,806","2,803","1,163",39,83,44,2,m
User-780,314,956,746,47,72,41,1,m
User-781,185,683,353,50,33,48,0,f
User-782,332,226,374,50,40,55,4,m
User-783,810,"1,967","1,726",95,110,88,5,m
User-784,834,280,404,6,11,9,2,m
User-785,81,85,53,6,1,6,1,f
User-786,"3,067","3,752","2,218",46,53,36,0,f
User-787,57,76,72,13,6,9,0,f
User-788,216,495,"2,158",84,58,55,2,f
User-789,68,77,248,4,15,33,1,f
User-790,71,168,"1,121",77,47,28,1,f
User-791,487,807,"3,006",32,17,22,8,m
User-792,121,176,465,34,30,21,2,f
User-793,788,"1,616","5,054",15,32,20,1,f
User-794,"1,137",511,851,71,38,88,0,f
User-795,51,303,"1,139",17,21,27,6,m
User-796,"1,959",166,886,5,4,3,0,f
User-797,234,402,"1,731",13,19,23,0,m
User-798,171,628,"3,171",72,64,71,3,f
User-799,215,250,480,27,19,16,0,f
User-800,69,196,508,26,40,24,5,f
User-801,137,"1,295","4,194",22,18,49,4,f
User-802,71,622,"2,108",22,20,11,6,m
User-803,627,282,643,28,45,22,0,f
User-804,801,"2,766","4,412",86,85,94,0,m
User-805,82,567,"2,984",85,81,55,3,m
User-806,280,"1,260","3,123",103,150,67,1,m
User-807,87,705,726,15,28,14,2,f
User-808,660,370,479,16,25,18,3,f
User-809,217,281,246,20,16,21,1,f
User-810,163,"2,288","2,283",45,38,25,0,f
User-811,72,152,663,103,71,105,0,f
User-812,180,649,"1,147",126,153,132,6,f
User-813,354,366,478,6,5,9,0,f
User-814,847,429,298,14,8,9,4,m
User-815,479,935,"1,120",78,41,68,0,f
User-816,193,638,"3,933",35,32,25,0,f
User-817,396,"1,887","5,565",84,57,46,3,f
User-818,328,258,142,28,15,11,8,m
User-819,53,295,521,22,7,7,0,f
User-820,104,833,"1,318",47,72,45,1,f
User-821,"1,084","1,206","4,686",22,13,13,0,f
User-822,171,71,248,13,6,6,5,m
User-823,863,"1,750","7,474",20,27,15,4,f
User-824,158,"1,218","3,308",162,184,156,1,m
User-825,125,"1,305","2,209",40,49,51,2,m
User-826,62,496,"1,704",61,17,48,3,f
User-827,190,999,"3,018",40,79,28,8,f
User-828,122,80,62,11,13,9,4,f
User-829,53,354,"1,304",25,15,16,7,m
User-830,61,233,"1,478",14,14,12,2,f
User-831,729,672,969,85,102,62,6,m
User-832,93,"1,984","4,800",161,143,95,4,m
User-833,407,455,504,47,55,17,3,f
User-834,75,111,233,3,9,4,0,m
User-835,93,"1,430","4,195",109,138,130,1,m
User-836,"1,922","1,284","2,177",15,12,17,7,f
User-837,124,215,433,39,29,29,0,f
User-838,92,"1,409","1,615",109,143,145,4,f
User-839,52,626,"2,987",39,133,53,2,m
User-840,231,199,638,41,12,24,0,m
User-841,"1,224","2,733","2,348",238,70,54,4,f
User-842,97,"1,054","2,307",60,57,31,7,m
User-843,853,"2,484","2,775",106,137,102,7,m
User-844,659,"1,796","4,556",16,16,13,5,m
User-845,446,"2,132","7,492",30,15,9,1,m
User-846,81,"1,454","1,023",111,73,81,1,m
User-847,172,102,184,31,26,30,8,m
User-848,145,"1,038","3,288",17,33,12,2,m
User-849,174,742,"3,771",33,148,68,6,m
User-850,98,667,"3,011",64,57,40,2,m
User-851,70,467,511,12,10,19,4,m
User-852,88,"1,148","4,877",34,32,27,0,m
User-853,140,857,"6,690",202,106,82,9,m
User-854,82,995,"1,548",20,26,20,0,m
User-855,67,265,"1,286",62,51,40,0,f
User-856,74,437,"1,730",9,13,8,2,f
User-857,86,301,"1,754",3,4,3,7,m
User-858,874,"5,478","1,387",195,102,181,4,f
User-859,622,"1,159","4,499",69,61,42,0,m
User-860,228,252,"2,804",18,9,8,4,m
User-861,129,635,"1,522",9,6,112,1,m
User-862,419,384,"4,203",13,15,15,6,m
User-863,58,"1,108","4,825",28,19,18,7,m
User-864,52,"1,245","5,294",18,13,9,8,m
User-865,358,294,"1,280",4,2,6,1,m
User-866,69,965,"5,293",11,14,6,5,m
User-867,172,"1,267","5,409",114,122,96,3,m
User-868,96,406,"1,794",53,80,66,8,m
User-869,197,366,"1,353",40,57,32,0,f
User-870,66,474,"1,831",56,73,123,7,m
User-871,56,62,158,9,13,22,0,f
User-872,87,928,"3,229",220,216,274,0,m
User-873,"1,001",866,"5,833",90,81,101,0,m
User-874,"1,740",778,"4,216",44,32,58,5,m
User-875,351,272,664,27,22,15,3,m
User-876,82,568,"1,387",61,67,74,7,m
User-877,70,265,"1,903",13,17,4,9,m
User-878,113,497,685,27,32,35,0,m
User-879,54,310,663,68,61,61,6,m
User-880,166,363,"2,514",72,92,111,4,m
User-881,97,660,"2,165",32,59,66,8,m
User-882,"1,817",865,"3,289",29,36,39,0,m
User-883,"6,948","1,177","3,368",29,48,46,0,m
User-884,72,370,"2,742",30,25,21,3,m
User-885,90,174,399,8,8,7,7,f
User-886,51,151,501,5,6,5,9,m
User-887,78,605,"2,771",5,17,11,6,m
User-888,109,353,"1,363",23,27,30,6,m
User-889,202,221,"1,705",6,9,7,5,m
User-890,54,106,508,5,7,30,3,m
User-891,490,835,"6,437",76,74,67,3,m
User-892,166,709,"6,087",10,9,6,6,m
User-893,65,656,"6,396",27,25,46,1,m
User-894,57,174,"1,554",35,26,84,0,m
User-895,375,"1,174","7,500",37,47,81,9,m
User-896,78,767,"6,527",50,48,26,8,m
User-897,116,203,"1,773",14,16,22,2,m
User-898,133,523,"6,107",10,12,7,9,m
User-899,230,316,316,21,26,40,6,m
User-900,101,455,"3,816",9,30,35,9,m
User-901,147,886,"7,076",11,28,30,2,m
User-902,59,671,"4,614",28,25,8,9,m
User-903,89,146,862,12,12,8,2,m
User-904,94,131,670,19,9,9,4,m
User-905,293,"3,570",14,465,520,240,1,f
User-906,615,"1,328","7,392",43,54,67,4,m
User-907,"1,197","1,926","4,491",4,55,23,3,m
User-908,377,"1,563","4,135",26,15,17,6,m
User-909,"1,317","4,059","5,196",109,170,202,0,m
User-910,107,"1,695","2,001",157,133,146,1,m
User-911,123,397,914,9,12,8,3,m
User-912,780,877,"2,566",25,78,54,0,m
User-913,112,325,711,23,10,10,0,m
User-914,"3,113",370,752,7,16,4,0,m
User-915,262,595,"1,770",73,92,81,8,m
User-916,113,702,"1,140",19,12,15,2,m
User-917,219,608,"2,468",37,41,34,0,m
User-918,340,331,837,19,14,12,0,m
User-919,846,"1,066","1,706",100,76,89,0,m
User-920,232,365,670,54,59,51,5,m
User-921,"1,259",604,"1,876",15,18,10,3,m
User-922,233,"1,352","7,444",94,99,91,6,m
User-923,"3,382",711,852,26,22,34,0,m
User-924,"1,468","8,683","7,479",765,831,654,8,m
User-925,132,472,"1,940",42,32,44,0,m
User-926,542,"1,058","2,973",66,84,59,5,f
User-927,707,963,"6,694",12,8,8,2,m
User-928,"1,330","1,996","7,500",29,90,70,3,f
User-929,305,207,92,6,12,5,1,f
User-930,163,771,"1,280",48,111,68,0,f
User-931,236,665,"4,225",24,14,7,1,f
User-932,50,541,369,50,43,37,3,f
User-933,64,305,"1,069",17,8,23,0,m
User-934,153,"1,011",449,246,180,147,5,m
User-935,"2,556",593,"3,573",31,53,35,4,f
User-936,138,502,604,21,47,62,3,f
User-937,300,759,"1,423",25,23,32,4,f
User-938,641,"2,201","5,564",254,173,121,2,f
User-939,93,"6,167","1,115",81,104,88,4,f
User-940,92,510,"1,553",235,174,239,0,m
User-941,361,"3,652","2,891",225,211,250,8,m
User-942,99,318,728,43,49,58,3,f
User-943,68,868,"2,618",102,102,137,7,f
User-944,138,229,"1,084",25,19,15,1,f
User-945,"1,012",821,"1,352",66,77,50,2,f
User-946,627,493,934,24,34,15,0,m
User-947,327,246,457,31,30,35,1,f
User-948,879,647,353,57,58,64,1,f
User-949,55,136,809,11,28,17,0,m
User-950,67,314,"1,434",9,10,13,4,m
User-951,555,615,895,63,34,97,7,m
User-952,212,318,407,9,6,24,3,f
User-953,65,"2,347","7,486",331,335,242,1,f
User-954,60,743,"3,179",92,88,97,1,f
User-955,"1,458","1,707","1,515",41,79,51,3,f
User-956,100,287,180,23,24,41,2,f
User-957,950,619,695,77,67,72,3,f
User-958,496,376,415,56,36,63,2,f
User-959,197,366,754,35,21,8,6,m
User-960,55,47,190,9,33,56,0,f
User-961,380,600,566,38,47,52,0,m
User-962,513,365,257,28,48,55,3,m
User-963,166,614,644,41,66,29,0,m
User-964,224,865,"5,830",46,32,20,0,m
User-965,374,"2,140","6,558",85,116,87,0,m
User-966,880,"1,093","3,741",55,35,34,5,f
User-967,150,984,"7,485",7,12,20,1,m
User-968,145,108,525,12,16,39,0,m
User-969,513,"1,748","7,500",84,77,91,3,f
User-970,689,386,771,25,39,70,0,f
User-971,172,311,610,25,37,19,4,f
User-972,836,"2,679",581,140,142,138,2,m
User-973,156,"7,671","4,107",1341,1098,899,2,m
User-974,253,409,"1,413",70,76,18,4,m
User-975,238,"3,399","5,361",411,314,265,0,f
User-976,510,"2,534","7,497",14,32,8,0,f
User-977,99,"2,083","4,555",161,150,127,0,m
User-978,131,236,959,37,28,19,8,m
User-979,115,"5,455","7,442",160,177,247,0,m
User-980,110,189,134,18,17,18,0,f
User-981,72,524,"1,665",103,121,107,0,m
User-982,348,"1,163","1,398",33,56,50,4,f
User-983,120,155,480,22,11,28,0,m
User-984,"1,338",750,"1,644",22,12,13,0,m
User-985,87,377,670,19,28,22,6,m
User-986,476,787,"2,085",39,48,67,1,m
User-987,53,277,"1,051",0,0,1,6,m
User-988,349,"1,524","1,865",61,53,82,0,m
User-989,117,936,"1,908",68,36,36,0,m
User-990,656,"2,682","6,818",144,75,115,3,f
User-991,122,"1,772","4,150",167,146,134,2,f
User-992,342,843,975,99,178,88,5,f
User-993,114,549,378,119,124,117,9,f
User-994,167,"1,638","1,227",259,379,362,6,f
User-995,151,"3,180",684,212,101,193,7,f
User-996,"2,599","2,684","7,300",19,55,44,0,f
User-997,"2,284","4,020","2,978",160,164,200,6,f
User-998,164,"2,326","6,920",37,29,48,7,f
User-999,89,286,715,30,6,18,4,f
User-1000,83,"1,587","4,997",58,32,45,5,f
