Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-139,51,"9,953","6,739",913,950,1014,8,m
User-140,329,"5,053","5,457",131,180,157,9,m
User-141,"4,310","1,364","2,917",35,23,11,2,f
User-142,207,"1,637","2,583",189,182,176,0,m
User-143,674,827,672,34,42,35,6,f
User-144,125,851,"2,873",68,75,35,3,f
User-145,117,"7,339","6,345",144,190,255,0,m
User-146,180,239,"1,626",4,4,26,9,m
User-147,378,929,"2,748",17,28,8,0,m
User-148,205,516,"1,322",59,46,72,0,m
User-149,107,196,75,4,9,6,2,f
User-150,102,"2,480","4,566",141,109,91,0,f
User-151,51,360,"1,223",9,10,8,0,m
User-152,823,"1,172",511,63,25,31,0,f
User-153,178,654,"3,373",44,88,61,3,f
User-154,685,"1,421","4,039",11,12,20,1,f
User-155,78,309,789,18,37,30,7,m
User-156,419,"2,013",992,123,162,86,1,f
User-157,121,"4,440","6,357",288,510,355,0,m
User-158,551,"3,423","6,332",66,133,69,1,f
User-159,68,357,"3,082",17,28,14,1,f
User-160,924,383,688,39,17,6,0,f
User-161,810,"1,385","3,782",26,20,27,0,f
User-162,341,"1,711","2,033",61,24,73,2,f
User-163,812,671,671,31,64,91,2,f
User-164,135,639,432,49,59,70,4,m
User-165,"5,600","6,755","1,084",16,8,7,0,m
User-166,166,575,311,1,3,18,5,m
User-167,103,375,"1,152",32,38,76,4,f
User-168,104,"1,247","4,087",194,157,125,4,m
User-169,134,193,519,37,27,29,0,f
User-170,220,"4,083","4,557",178,203,222,0,f
User-171,84,"2,337","2,029",134,123,140,5,f
User-172,114,710,570,55,97,107,9,m
User-173,137,646,175,67,95,98,5,f
User-174,253,948,590,145,101,241,4,m
User-175,69,954,439,106,115,126,9,m
User-176,186,329,"1,971",67,52,54,0,m
User-177,91,"4,212","1,282",274,368,225,9,f
